Tickers;Name
'STB';'Storebrand'
'APP';'Apptix'
'SUBC';'Subsea 7'
'ZAL';'Zalaris'
'TOTG';'Totens Sparebank'
'ARCHER';'Archer'
'MHG';'Marine Harvest'
'ATEA';'Atea'
'OLT';'Olav Thon Eiendomsselskap'
'RING';'SpareBank 1 Ringerike Hadeland'
'AKSO';'Aker Solutions'
'B2H';'B2Holding'
'KOMP';'Komplett Bank'
'POL';'Polaris Media'
'NODL';'Northern Drilling'
'FKRAFT';'Fjordkraft Holding'
'MEDI';'Medistim'
'SOFF';'Solstad Farstad'
'OTELLO';'Otello Corporation'
'TGS';'TGS-NOPEC Geophysical Company'
'SDSD';'S.D. Standard Drilling'
'AKER';'Aker'
'AKVA';'AKVA Group'
'YAR';'Yara International'
'ASC';'ABG Sundal Collier Holding'
'IMSK';'I.M. Skaugen'
'NOFI';'Norwegian Finans Holding'
'SVEG';'Sparebanken Vest'
'INSR';'Insr Insurance Group'
'BEL';'Belships'
'EKO';'Ekornes'
'PCIB';'PCI Biotech Holding'
'SALM';'SalMar'
'STORM';'Storm Real Estate'
'MING';'SpareBank 1 SMN'
'REC';'REC Silicon'
'ITE';'Itera'
'ELE';'Element'
'FJORD';'Fjord1'
'ELK';'Elkem'
'NANO';'Nordic Nanovector'
'PRS';'Prosafe'
'EVRY';'EVRY'
'BWO';'BW Offshore Limited'
'FOE';'Fred. Olsen Energy'
'AQUA';'Aqualis'
'NOD';'Nordic Semiconductor'
'KID';'Kid'
'SHLF';'Shelf Drilling'
'MSEIS';'Magseis'
'QEC';'Questerre Energy Corporation'
'NOR';'Norwegian Energy Company'
'KIT';'Kitron'
'AVM';'Avocet Mining PLC'
'THIN';'Thin Film Electronics'
'NAPA';'Napatech'
'AVANCE';'Avance Gas Holding'
'AFG';'AF Gruppen'
'BIOTEC';'Biotec Pharmacon'
'AFK';'Arendals Fossekompani'
'ORK';'Orkla'
'INFRNT';'Infront'
'WRL';'Wentworth Resources'
'SPOG';'Sparebanken Øst'
'NEXT';'NEXT Biometrics Group'
'GSF';'Grieg Seafood'
'QFR';'Q-Free'
'SPOL';'SpareBank 1 Østlandet'
'FLNG';'FLEX LNG'
'PDR';'Petrolia'
'AXA';'Axactor'
'JIN';'Jinhui Shipping and Transportation'
'BERGEN';'Bergen Group'
'PEN';'Panoro Energy'
'DNB';'DNB'
'HEX';'Hexagon Composites'
'NRC';'NRC Group'
'STRONG';'StrongPoint'
'NAS';'Norwegian Air Shuttle'
'FRO';'Frontline'
'BWLPG';'BW LPG'
'DNO';'DNO'
'OCY';'Ocean Yield'
'EPR';'Europris'
'NRS';'Norway Royal Salmon'
'OTS';'Oceanteam'
'ODF';'Odfjell ser. A'
'ODL';'Odfjell Drilling'
'HELG';'Helgeland Sparebank'
'DOF';'DOF'
'NONG';'SpareBank 1 Nord-Norge'
'KVAER';'Kværner'
'IDEX';'IDEX'
'TOM';'Tomra Systems'
'PROTCT';'Protector Forsikring'
'HIDDN';'Hiddn Solutions'
'MELG';'Melhus Sparebank'
'SALMON';'Salmones Camanchaca'
'PGS';'Petroleum Geo-Services'
'BGBIO';'BerGenBio'
'PLCS';'Polarcus'
'NTS';'NTS'
'HAVI';'Havila Shipping'
'XXL';'XXL'
'SNI';'Stolt-Nielsen'
'EQNR';'Equinor'
'WSTEP';'Webstep'
'PHO';'Photocure'
'AKA';'Akastor'
'SNOR';'SpareBank 1 Nordvest'
'ASETEK';'Asetek'
'EIOF';'Eidesvik Offshore'
'NPRO';'Norwegian Property'
'KOA';'Kongsberg Automotive'
'SRBANK';'SpareBank 1 SR-Bank'
'AMSC';'American Shipping Company'
'KOG';'Kongsberg Gruppen'
'SBVG';'SpareBank 1 BV'
'MPCC';'MPC Container Ships'
'WWI';'Wilh. Wilhelmsen Holding ser. A'
'COV';'ContextVision'
'SCHB';'Schibsted ser. B'
'WWL';'Wallenius Wilhelmsen Logistics'
'SCHA';'Schibsted ser. A'
'MORG';'Sparebanken Møre'
'NEL';'NEL'
'DAT';'Data Respons'
'SADG';'Sandnes Sparebank'
'SOR';'Sparebanken Sør'
'VEI';'Veidekke'
'MULTI';'Multiconsult'
'BAKKA';'Bakkafrost'
'TRE';'Treasure'
'AUSS';'Austevoll Seafood'
'SIOFF';'Siem Offshore'
'SPU';'Spectrum'
'HLNG';'Höegh LNG Holdings'
'BON';'Bonheur'
'LSG';'Lerøy Seafood Group'
'HYARD';'Havyard Group'
'GIG';'Gaming Innovation Group'
'SOAG';'SpareBank 1 Østfold Akershus'
'SBLK R';'Star Bulk Carriers'
'SAFE';'Saferoad Holding'
'EMGS';'Electromagnetic Geoservices'
'NAVA';'Navamedic'
'NGT';'NextGenTel Holding'
'BDRILL';'Borr Drilling'
'INC';'Incus Investor'
'SBANK';'Sbanken'
'GJF';'Gjensidige Forsikring'
'SEVAN';'Sevan Marine'
'PARB';'Pareto Bank'
'AKERBP';'Aker BP'
'ENTRA';'Entra'
'WWIB';'Wilh. Wilhelmsen Holding ser. B'
'TTS';'TTS Group'
'LINK';'Link Mobility Group'
'NHY';'Norsk Hydro'
'SBO';'Selvaag Bolig'
'SSC';'The Scottish Salmon Company'
'SSG';'Self Storage Group'
'FUNCOM';'Funcom'
'TRVX';'Targovax'
'SBX';'SeaBird Exploration'
'ARCUS';'Arcus'
'GOGL';'Golden Ocean Group'
'SSO';'Scatec Solar'
'REACH';'Reach Subsea'
'CRAYON';'Crayon Group Holding'
'WILS';'Wilson'
'RAKP';'RAK Petroleum'
'IOX';'InterOil Exploration and Production'
'BRG';'Borregaard'
'SOLON';'Solon Eiendom'
'TEL';'Telenor'
'BOUVET';'Bouvet'
'CXENSE';'Cxense'
'SAS NOK';'SAS AB'
